                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7158,                  1.554,                 1.4656,                0.33327,                0.38652,                0.27476,                0.10152,                  2.184,                 2.0325,                 1.8426,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.6986,                  1.464,                 1.4279,                0.31991,                 0.3775,                0.26898,                0.10019,                 2.1751,                 2.0155,                 1.8162,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.6824,                 1.4377,                 1.4219,                0.31363,                0.34028,                0.25741,                0.09551,                  2.213,                 2.0154,                 1.8374,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.6822,                 1.4422,                 1.4227,                0.35274,                0.37055,                 0.2803,                0.10506,                 2.2189,                 1.9816,                 1.8826,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.6608,                 1.4347,                 1.4243,                0.37953,                0.38039,                 0.2945,                0.10727,                 2.2464,                 1.9418,                 1.9108,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.6629,                 1.4064,                 1.4136,                0.34823,                0.40623,                0.30569,                0.10792,                 2.2282,                 1.9744,                 1.8769,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.6323,                 1.3464,                 1.3886,                0.34431,                0.34314,                0.26561,                0.09648,                 2.2261,                 2.1791,                 1.8806,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.6505,                  1.426,                  1.404,                0.31726,                0.36226,                0.25452,                0.09092,                  2.215,                 2.0716,                  1.924,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.6291,                 1.3544,                 1.3854,                0.39297,                0.35915,                0.27802,                0.09821,                 2.2178,                 2.0572,                 1.8882,               0.009604,               0.009604,               0.009604
                     43,                 1.6102,                 1.3175,                 1.3787,                0.33176,                0.43318,                0.28866,                0.10006,                 2.2246,                 2.0168,                 1.8911,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.6169,                  1.345,                 1.3773,                0.37996,                0.36462,                0.30233,                0.11169,                 2.2409,                 2.0224,                 1.9067,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.5804,                 1.2652,                 1.3514,                0.35995,                0.36422,                0.26944,                0.09647,                 2.2618,                 1.9791,                 1.9255,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.5822,                 1.2651,                 1.3512,                0.33576,                0.35675,                 0.2546,                0.09028,                 2.2965,                 2.0827,                 1.9605,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.5794,                 1.2645,                 1.3679,                0.31054,                0.38897,                0.26501,                0.09465,                 2.2477,                 2.0401,                 1.8889,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.5795,                 1.2557,                 1.3375,                0.34599,                0.36613,                0.27148,                0.09761,                 2.2991,                 2.1273,                 1.9409,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.5662,                 1.2354,                 1.3356,                0.31874,                0.34993,                0.26284,                0.08924,                 2.3525,                 2.1317,                 1.9696,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.5546,                 1.1995,                 1.3318,                0.31898,                0.34996,                0.25062,                0.08358,                 2.3752,                 2.1363,                 2.0302,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.5391,                 1.2034,                 1.3186,                0.28622,                0.40144,                0.25956,                0.09259,                 2.3239,                 2.0588,                 1.9854,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.5352,                 1.1853,                 1.3084,                0.36613,                0.33784,                0.24579,                0.08886,                 2.3772,                 2.1196,                 2.0149,               0.009505,               0.009505,               0.009505
